,Bug ID,,Test,Opt Status,Debug Status,Owner,Assignee,Fission Target,Comments
,Core::Audio/Video: Playback,,,,,,,,
,,dom/tests/browser/browser_bug1004814.js,dom/tests/browser/browser_bug1004814.js,skipped,skipped,hsinyi/neha,,M4,
,,dom/tests/browser/browser_largeAllocation_non_win32.js,dom/tests/browser/browser_largeAllocation_non_win32.js,skipped,skipped,hsinyi/neha,,M∞,"This will probably be killed soon, not going to fix for fission"
,,dom/tests/browser/browser_largeAllocation_win32.js,dom/tests/browser/browser_largeAllocation_win32.js,skipped,skipped,hsinyi/neha,,M∞,"This will probably be killed soon, not going to fix for fission"
,,dom/tests/browser/browser_localStorage_e10s.js,dom/tests/browser/browser_localStorage_e10s.js,fails,fails,jstutte,janv,M4,
,,dom/tests/browser/browser_localStorage_snapshotting_e10s.js,dom/tests/browser/browser_localStorage_snapshotting_e10s.js,fails,skipped,jstutte,janv,M4,
,,dom/tests/browser/browser_noopener.js,dom/tests/browser/browser_noopener.js,fails,skipped,hsinyi/neha,neha's team?,M4,
,,dom/tests/browser/browser_noopener_null_uri.js,dom/tests/browser/browser_noopener_null_uri.js,passes,passes,hsinyi/neha,,M4,
,,dom/tests/browser/browser_persist_cookies.js,dom/tests/browser/browser_persist_cookies.js,skipped,skipped,hsinyi/neha,SecEng (?),M4,
1576814,1576814,dom/tests/mochitest/bugs/test_bug1171215.html,dom/tests/mochitest/bugs/test_bug1171215.html,passes,passes,hsinyi/neha,pbone,M4,Bug 1562264 removed the debug skip-if.
1530413,1530413,dom/tests/mochitest/bugs/test_bug1530292.html,dom/tests/mochitest/bugs/test_bug1530292.html,fails,fails,hsinyi/neha,anny,M4,
1587386,1587386,dom/tests/mochitest/bugs/test_bug260264.html,dom/tests/mochitest/bugs/test_bug260264.html,skipped,skipped,hsinyi/neha,edgar,M4,
,,dom/tests/mochitest/bugs/test_bug260264_nested.html,dom/tests/mochitest/bugs/test_bug260264_nested.html,skipped,skipped,hsinyi/neha,edgar,M4,
,,dom/tests/mochitest/bugs/test_bug265203.html,dom/tests/mochitest/bugs/test_bug265203.html,passes,passes,hsinyi/neha,henri,M4,Likely depends on https://bugzilla.mozilla.org/show_bug.cgi?id=1556627
,,dom/tests/mochitest/bugs/test_bug346659.html,dom/tests/mochitest/bugs/test_bug346659.html,skipped,skipped,hsinyi/neha,"SecEng (?)
",M4,
,,dom/tests/mochitest/bugs/test_bug369306.html,dom/tests/mochitest/bugs/test_bug369306.html,passes,skipped,hsinyi/neha,alchen,M4,
,,dom/tests/mochitest/bugs/test_bug440572.html,dom/tests/mochitest/bugs/test_bug440572.html,passes,passes,hsinyi/neha,,M4,
1587013,1587013,dom/tests/mochitest/bugs/test_navigator_buildID.html,dom/tests/mochitest/bugs/test_navigator_buildID.html,skipped,skipped,hsinyi/neha,hsivonen,M4,"Still failed on Oct. 7. It looks like it has a different-domain iframe, so expect it to exercise Fission issues."
1532994,1532994,dom/tests/mochitest/dom-level0/test_location.html,dom/tests/mochitest/dom-level0/test_location.html,passes,passes,hsinyi/neha,kmag,M4,Bug 1577723 - still failing intermittently on fission
1532994,1532994,dom/tests/mochitest/dom-level0/test_location_setters.html,dom/tests/mochitest/dom-level0/test_location_setters.html,passes,passes,hsinyi/neha,kmag,M4,
